Brain Region,Brain Area,Target,Method,Submethod,Model,Effect,Wake effectiveness,NREM effectiveness,REM effectiveness,Manipulation duration ( in relation to effectiveness),Rodent,Strain,Sex,Age,Sleep target,Target maturation timeline,Cognitive side effects,Metabolic side effects,Other effects,Reference,Author,Year,link,Impact factor at publication 
,,,Mechanical,Automated,Forced locomotion with treadmill for sleep fragmentation for 6,REM and NREM significantly reduced. ,"122,60 %","-61,77 %","-97,73 %",6,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 280-350g",,Locomotion increased,NREM duration and delta power increased after SI. Rats more sleepy after SI. BF AD increased after SI,"McKenna, J. T. (2007)",McKenna,2007,https://pubmed.ncbi.nlm.nih.gov/17442498/,
,,,Mechanical,Automated,Forced locomotion with treadmill for sleep fragmentation for 24h,"REM significantly reduced, NREM reduced. Last 18h of 24h NREM not reduced","33,13 %","-25,68 %","-88,71 %",24,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 280-350g",,Locomotion increased,NREM duration and delta power increased after SI. Rats more sleepy after SI. BF AD increased after SI,"McKenna, J. T. (2007)",McKenna,2007,https://pubmed.ncbi.nlm.nih.gov/17442498/,
,,,Mechanical,Automated,Forced locomotion with treadmill over water with motion det. IR camera,NREM sleep decreased about 50%. Near complete elimination of REM sleep.,"44,30 %","-40,10 %","-50,50 %",24,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 375-475g",Signs of anxiety (disheveled fur),"BW decrease, FI increased. Locomotion increased",NREM not increased right after SD. REM sleep was elevated in all animals after SD.,"Newman, S. M. (2009)",Newman,2009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2753808/,
,,,Mechanical,Automated,Orbital shaker for interupting sleep 30s every 2min for 48h,"NREM decreased, bouts significantly reduced. REM sleep amount profoundly affected, but not bouts","49,14 %","-42,58 %","-63, 92%",24,Mice,C57BL/6,Male,Adult,Both,"Adult, 18-20 weeks",,,Rebound in REM sleep time and increase in depth of NREM delta power,"Sinton, C. M. (2009)",Sinton,2009,https://pubmed.ncbi.nlm.nih.gov/19646474/,
Forebrain,Hypothalamus,LH,Optogenetics,ChR2,Activation of orexin neurons,Increased probability of awakening mice from sleep. Increased probability of awakening mice from sleep. High frequency stimulation reduced the latency from NREM and REM sleep to wakefulness. Chronic stimulation increased number of transitions from NREM to wakefulness.,,,,,Mice,C57BL/6 ,Male,Adult,Both,8-10 weeks,No,No,Effect diminished with sleep pressure induced by 2-4 hrs of sleep deprivation,"Carter, M. E (2009)",Carter,2009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3849591/,
Forebrain,Basal Forebrain,BF,Lesion,Temporary,Activation of BF neurons using glutamatergic agonist (NMDA+AMPA),Causes wakefulness,,,,,Rats,Wistar rats,Male,Adult,Both,200-250g,No,No,,Cape and Jones (2000),Cape and Jones,2000,https://pubmed.ncbi.nlm.nih.gov/10886356/,
Forebrain,Basal Forebrain,BF,Lesion,Temporary,Inactivation of BF neurons using procaine,Loss of REM sleep,,,,,Rats,Wistar rats,Male,Adult,REM,200-250g,Attentional dysfunction,No,,Cape and Jones (2000),Cape and Jones,2000,https://pubmed.ncbi.nlm.nih.gov/10886356/,
Forebrain,Basal Ganglia,NAc,Lesion,Permanent,Lesion of accumbens core with ibotenic acid,Increase in wakefulness and reduction in NREM,"26,72 %",,,48,Rats,Sprague-Dawley,Male,Adult,NREM,275-300g,No,No,"Excessive digging and scratching, OCD-like behaviour","Qiu, et al. (2010)",Qiu,2010,https://pubmed.ncbi.nlm.nih.gov/20105243/,
Forebrain,Basal Ganglia,GP,Lesion,Permanent,Lesion in GP using ibotenic acid,"Substantial increase in wake (45.52%), frequent sleep-wake transitions, decrease in NREM","45,52 %",,,48,Rats,Sprague-Dawley,Male,Adult,NREM,275-300g,No,weight loss,"Aphagia and adipsia, contributor to weight loss","Qiu, et al. (2010)",Qiu,2010,https://pubmed.ncbi.nlm.nih.gov/20105243/,
Forebrain,Hypothalamus,LH,Pharmacologic,Receptor antagonist,Blocking MCH1 receptor using MCH1 receptor antagonists,"Compound A had dose-dependent decreases in deep NREM sleep and REM sleep and increases waking and passive waking states. Compound B significantly reduced deep NREM sleep and REM sleep, while increased wakefulness.",,,,,Rats,Sprague-Dawley,Male,Adult,REM,"Adult, 250-300g",No,Locomotion increased,"No homeostatic rebound of sleep was observed, tendency for REM sleep recovery during dark phase","Ahnaou, A. (2008)",Anahou,2008,https://www.sciencedirect.com/science/article/abs/pii/S0014299907011314,
,,,Pharmacologic,Receptor agonist,Blocking mGlu2 receptors using agonist LY354740,"Dose-dep. reduction in REM sleep, longer REM onset latency.",,,"-83,00 %",4,Rats,Sprague-Dawley,Male,Adult,REM,"Adult, 250-300g",No,No,,"Anahou, A. (2009)",Anahou,2009,https://pubmed.ncbi.nlm.nih.gov/19046965/,
,,,Pharmacologic,PAM,Increase of glutamate effect using PAM BINA,Dose-dependent reduction in REM sleep. Slight enhancement in wake state.,,,"-82,00 %",4,Rats,Sprague-Dawley,Male,Adult,REM,"Adult, 250-300g",No,No,,"Anahou, A. (2009)",Anahou,2009,https://pubmed.ncbi.nlm.nih.gov/19046965/,
,,,Pharmacologic,Receptor agonist,Using both LY354740 and BINA,Additive effects on supressing REM sleep and lengthened REM sleep onset,,,,,Rats,Sprague-Dawley,Male,Adult,REM,"Adult, 25-30g",No,No,,"Anahou, A. (2009)",Anahou,2009,https://pubmed.ncbi.nlm.nih.gov/19046965/,
Forebrain,Hypothalamus,LH,Genetic,Breeding,MCH KO mice,"More wakefulness (+90 min/24 hr) due to increased bouts. Reduced total NREM, sig. reduced REM sleep.","10,76 %","-14,53 %","-7,93 %",24,Mice,MCH-1 ?/?,Male,Adult,Both,"Adult, 20-23 weeks",,No,Sleep rebound normal.  MCH KO mice profound inability to adapt to fasting. wake consolidation.,"Willie, J. T. (2008)",Willie,2008,https://pubmed.ncbi.nlm.nih.gov/18809470/,
,,,Pharmacologic,Food,MCH KO mice fasting,"Hyperactivity, marked deficits in REM sleep. Some showing no REM sleep.","12,46 %","-16,57 %","-59,36 %",24,Mice,MCH-1 ?/?,Male,Adult,REM,"Adult, 20-23 weeks",,"Locomotion increased, weight loss",Exagerated increase in locomotion. ,"Willie, J. T. (2008)",Willie,2008,https://pubmed.ncbi.nlm.nih.gov/18809470/,
,,Astrocytes,Genetic,Gene casette,Conditional expression of dnSNARE transgene,Blocking the rise in adenosine mediated by astrocytes prevents rebound recovery sleep after SD,,,,,Mice,dnSNARE,,Adult,NREM,"Adult, >8 weeks",No,No,"Sleep pressure red. in dnSNARE expressed in astrocytes, positively correlates with SWA. NREM bouts red. after SD","Halassa, M. M. (2009)",Halassa,2009,https://pubmed.ncbi.nlm.nih.gov/19186164/,
Forebrain,Hypothalamus,SCN,Genetic,HR,Loss of LAP protein MOP3 ,"Loss of circadian rythm, no rythm to running periods. Not reactive to Light/Dark periods",,,,,Mice,Mop3?/?,,Adult,Both,Not disclosed,No,Locomotion reduced,,"Bunger, M. K. (2000)",Bunger,2000,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3779439/,
Forebrain,Hypothalamus,SPZ,Lesion,Permanent,Restricted ibotenic acid lesions of the ventral or dorsal SPZ,"Ventral: profound reduction of measures of circadian index of sleep. Loss of circadian rythm, esp during constant darkness",,,,,Rats,Sprague dawley,Male,Adult,Both,"Adult, 275-300g",No,Locomotion reduced,dorsal lesions of SPZ disrupted circadian rythms in body temperature,"Lu, J. (2001)",Lu,2001,https://pubmed.ncbi.nlm.nih.gov/11425913/,
,,,Mechanical,Manual,Perpetual avoidance of water on a wheel (PAWW),"Locomotor activity up during light phase, less daytime sleep. More nighttime sleepiness. fragmented sleep and reduced delta power",,,,,Mice,C3H-HeN,Male,Adult,Both,"Adult, 8-15 weeks",stress,"Increased appetite, loss of BW","body temp rythm was dysregulated during dark phase, plasma catecholamines elevated","Miyazaki, K. (2013)",Miyazaki,2013,https://pubmed.ncbi.nlm.nih.gov/23383193/,
,,SCN,Mechanical,Manual,"circadian disruption: 20 h long day, 10 h of light and 10 h of darkness",Disrupt sleep timing and quality of sleep (NREM delta power decrease),,,,,Mice,C57 B16,Male,Adult,NREM,"Adult, 42-59d",No,disrupt body temperature,Innate immune response altered,"Phillips, D. (2015)",Phillips,2015,https://pubmed.ncbi.nlm.nih.gov/25542734/,
Forebrain,Cortex,Cortex,Genetic,Gene casette,homozygous Tfap2b deletion in GABAergic neurons,Female: reduced sleep and NREMS delta power and REM theta power. Male: a decrease in the time spent in NREMS,,,,,Mice,vgat-tfap2b-/-,Both,Adult,Both,Adult,,,female:weaker delta and theta power during rebound sleep,"Hu, Y. (2023)",Hu,2023,https://www.nature.com/articles/s41598-023-34772-x,
Forebrain,Cortex,Cortex,Genetic,Gene casette,Heterozygous deletion of Tfap2b,Reduced sleep time and delta power during NREM. decrease in REM sleep duration and theta power. weaker SD response- Circadian rythm shortened,,,,,Mice,Tfap2b+/?,Male,Adult,Both,"Adult, 2-6mnd","depressive, stress and learning defect",,Increased sleep pressure. Sleep loss phenotype stronger when knocked down during development vs.adult. ,"Hu, Y.  (2020)",Hu,2020,https://academic.oup.com/genetics/article/216/3/735/6065611?login=false,
Brainstem,Medulla,PZ,Chemogenetic,hM3Dq,Activation of PZ vglut2 neurons,"Induced wakefulness due to increase in bout length, decrease delta frequency band power. NREM and REM decreased","85,11 %","-59,07 %","21,18 %",5,Mice,Vglut2-hM3Dq,Male,Adult,REM,"Adult, 8-12 weeks 20-25g",,,no sleep rebound seen,"Erickson, E. T. M (2019)",Erickson,2019,https://pubmed.ncbi.nlm.nih.gov/31417341/,
Brainstem,Pons,SLD,Chemogenetic,HM3Dq,Activation of SLD vglut2 neurons,Induced wakefulness and enhanced REM sleep,"86,78 %","-54,80 %","58,16 %",6,Mice,Vglut2-hM3Dq,Male,Adult,NREM,"Adult, 8-12 weeks 20-25g",,,,"Erickson, E. T. M (2019)",Erickson,2019,https://pubmed.ncbi.nlm.nih.gov/31417341/,
Brainstem,Pons,PB,Chemogenetic,HM3Dq,Activation of PB vglut2 neurons,Induces wakefulness at expense of REM and NREM sleep.  No sleep rebound,"144,75 %","-69,88 %","-65,88 %",9,Mice,Vglut2-hM3Dq,Male,Adult,Both,"Adult, 8-12 weeks 20-25g",,,no sleep rebound seen,"Erickson, E. T. M (2019)",Erickson,2019,https://pubmed.ncbi.nlm.nih.gov/31417341/,
Forebrain,Hypothalamus,VLPO,Optogenetics,ChR2,Activation of orexin neurons,"When OX stimulated during both NREM and REM, mice had short-latency arousals. Higher frequencies were effective for NREM sleep transitions, while increased probability of REM sleep to wake transitions happened at lower frequencies.",,,,,Mice,Ox-IRES-Cre,Both,Adult,Both,"Adult, 6-12 weeks",,,,"De Luca, R. (2022)",De Luca,2022,https://www.nature.com/articles/s41467-022-31591-y,
Brainstem,Pons,LC,Lesion,Permanent,Response to novel stimuli after chemical LC lesion,Fell asleep unless new novelty every 1h. LC drives arousal and attention,,,,,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 275-300g",No,No,,"Gompf, H (2010)",Gompf,2010,https://pubmed.ncbi.nlm.nih.gov/20980612/,
,,,Mechanical,Behavioural,Novelty introduction,Increased wakefulness significantly when new novelty introduced every 1 hr,"232,51 %",,,5,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 275-300g",No,No,,"Gompf, H (2010)",Gompf,2010,https://pubmed.ncbi.nlm.nih.gov/20980612/,
,,,Pharmacologic,PCPA,Causing serotonin depletion using PCPA in mice and housing them in different temperatures,Mice couldn't regulate bodytemp - hypothermia. Hypothermic mice had increased wake at expense of NREM and REM sleep,"30,76 %","-39,60 %","-73,04 %",24,Mice,C57BL/6N,Male,Adult,Both,"Adult, 26-32g",No,Locomotion reduced,"housing at 33°C, which is in the thermoneutral range for a mouse, prevented insomnia or any change in TC","Murray, N (2015)",Murray,2015,https://academic.oup.com/sleep/article/38/12/1985/2417984,
Brainstem,Pons,DRN,Optogenetics,ChR2,Activation of 5HT neurons, doubles amount of wake and reduces+fragments NREM sleep,,,,,Mice,Tph2-ChR2 transgenic,Male,Adult,NREM,8 weeks,No,No,neuropathic pain accelerates the activity of DRN-5-HTergic neurons,"Ito, H (2013)",Ito,2013,https://pubmed.ncbi.nlm.nih.gov/24370235/,
,,,Genetic,Breeding,"KO of DAT gene in mice and metamphetamine, modafinil and caffeine","Significantly increased wakefulness due to wake bout duration , while NREM sleep duration and bout length were reduced","16,72 %","-17,29 %","-18,25 %",24,Mice,DAT-/-,N/D,Adult,NREM,3-6 months,No,No,hyperactivity in novel environments. no response to amphetamine and modafinil. Hypersensitive to caffeine,"Wisor, J (2001)",Wisor,2001,https://www.jneurosci.org/content/21/5/1787,
Brainstem,Pons,PPT,Chemogenetic,hM3Dq,activation of the glutamatergic PPT neurons ,Hm3 markedly increases wake for ~7 hours,"55,30 %",,,6,Mice,vGluT2-Cre,Male,Adult,Both,"8-10 weeks, 25-30g",mild anxiety,"Less eating and exploring, run more on wheels",,"Kroeger, D (2017)",Kroeger,2017,https://www.jneurosci.org/content/37/5/1352.abstract,
Brainstem,Pons,PPT,Chemogenetic,hM3Dq,activation of the GABAergic PPT neurons,Hm3 mildly reduce REM sleep and shortens latency to sleep onset,,,"-1,60 %",6,Mice,vGAT-Cre,Male,Adult,Both,"8-10 weeks, 25-30g",No,No,,"Kroeger, D (2017)",Kroeger,2017,https://www.jneurosci.org/content/37/5/1352.abstract,
Forebrain,Hypothalamus,LH,Pharmacologic,Orexin,"Injection of orexin-A in WT, OX1R KO, OX2R KO and OX1R:OX2R KO mice","increases wake and suppresses REM for several hours. Activation of OX2R more than OX1R for wake, but OX1R for REM. No response for mice with KO of both receptors",,,,,Mice,"C57BL/6J, OX1R?/?, OX2R?/?, and OX1R?/?;OX2R?/?",,Adult,Both,20 weeks,No,No,,"Mieda, M (2011)",Mieda,2011,https://www.jneurosci.org/content/31/17/6518,
Forebrain,Hypothalamus,LH,Optogenetics,ChR2,Activation of orexin neurons,"awakens mice from REM and SWS sleep. Reduces latency, in a frequency-dependent matter, from NREM and REM sleep to wake.","9,99 %","2,47 %","-46,04 %",6,Mice,Hcrt::EGFP,,,Both,5-6 weeks,No,No,,"Adamantis, C. (2007)",Adamantis,2007,https://www.nature.com/articles/nature06310,
Forebrain,Hypothalamus,LH,Chemogenetic,hM3Dq,Activation of hM3Dq orexin neurons,increases wake and strongly suppresses REM sleep during light period,"58,68 %","-41,81 %","-92,84 %",1,Mice,Orexin-cre,,Adult,REM,10-12 weeks,No,No,,"Sasaki, K (2011)",Sasaki,2011,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0020360,
Forebrain,Hypothalamus,LH,Optogenetics,ChETA,Activation of GABAergic LH neurons innervating TRN,Activation during NREM sleep rapidly wakes mice from NREM sleep. Semi-chronic stimulation increased number of arousal transitions and total wakefulness.,,,,,Mice,Tg(VGAT)?IRES-Cre transgenic,Male,Adult,NREM,6 weeks,No,No,,"Herrera, C (2016)",Herrera,2016,https://www.nature.com/articles/nn.4209,
Forebrain,Thalamus,TRN,Optogenetics,ArchT,Silencing of TRN neurons,Silencing during NREM sleep rapidly wakes mice from NREM sleep.,,,,,Mice,Tg(VGAT)?IRES-Cre transgenic,Male,Adult,NREM,6 weeks,No,No,,"Herrera, C (2016)",Herrera,2016,https://www.nature.com/articles/nn.4210,
Brainstem,Medulla,PZ,Lesion,Permanent,Lesion of GABA/glycinergic transmission into the PZ with saporin,"Increase wakefulness (+50%) and wake bouts at expense of NREM (SWS) amount and bouts, insomnia","50,48 %","-38,92 %",,24,Rats,Sprague Dawley,Male,Adult,NREM,"Adult, 275-300g",No,No,,"Anaclet, C (2012)",Anaclet,2012,https://www.jneurosci.org/content/32/50/17970,
Brainstem,Medulla,PZ,Genetic,Gene casette,Genetical disruption of PZ GABA neurons,"Increase wakefulness (+40%) at expense of NREM and REM. Change in NREM due to sleep bouts, indicating deficit in sleep initiation","42,05 %","-32,98 %","-45,94 %",24,Mice,Vgat lox/lox,Male,Adult,Both,"10-12 weeks, 20-25g",No,No,,"Anaclet, C (2012)",Anaclet,2012,https://www.jneurosci.org/content/32/50/17971,
Brainstem,Medulla,PZ,Chemogenetic,hM4Di,Chemogenetic inhibition of PZ GABAergic neurons,Strongly decrease NREM (SWS),,,"-35,98 %",24,Mice,"Vgat-IRES-cre, Vgat–ires–Cre, lox–GFP",,Adult,REM,"8-12 weeks, 20-25g",No,No,CNO-induced SWS at expense of both wake and REM,"Anaclet, C (2014)",Anaclet,2014,https://www.nature.com/articles/nn.3790,
Forebrain,Cortex,Cortex,Genetic,Breeding,Cortical neurons lacking nNOS,"shorter NREM sleep bouts, less total NREM sleep, and a blunted homeostatic response to sleep deprivation",,,,,Mice,B6;129S4-Nos1tm1 Plh/nNOS-/-,Male,Adult,NREM,Adult? Unspecified.,No,No,greater delta power during wakefulness and decreased delta power during NREM sleep.,"Morairty, S (2013)",Morairty,2013,https://www.pnas.org/doi/full/10.1073/pnas.1314762110,
Forebrain,Hypothalamus,LH,Pharmacologic,Orexin,ICV Injection with Orexin A,"Increased arousal, significantly decreased REM","157,46 %","-21,07 %","-67,80 %",2,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 250-300g",corticosterone+intense grooming,Increased locomotion,dose-dependent decrease in plasma growth hormone levels. High dose (30µg) increase dopamine turnover,"Hagan, JJ (1999)",Hagan,1999,https://www.pnas.org/doi/10.1073/pnas.96.19.10911,
Brainstem,Pons,LC,Pharmacologic,Orexin,ICV Injection with Orexin A,Dose-dependant increase in wake 2-3 hours after. Marked reduction in REM and deep SWS. REM latency prolonged,"211,60 %","-23,20 %","-86,90 %",2,Rats,Hooded lister,Male,Adult,Both,"Adult, 200-250g",,,,"Piper, D. C. (2000)",Piper,2000,https://pubmed.ncbi.nlm.nih.gov/10712652/,
Forebrain,Hypothalamus,LH,Pharmacologic,Orexin,ICV infusion of orexin-A,Substantial increase in wakefulness and significant decrease in both NREM and REM sleep.,"228,60 %","-88,00 %","-96,20 %",5,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 330-360g",,,,"Akanmu, M. A. (2005)",Akanmu,2005,https://pubmed.ncbi.nlm.nih.gov/15919057/,
Forebrain,Hypothalamus,LH,Pharmacologic,Orexin,ICV infusion of [Ala11]orexin-B (agonist),Dose-dependent increase in wakefulness and decrease in NREM and REM sleep. [Ala11]orexin-B was more potent than orexin-B.,"146,20 %","-58,24 %","-84,04 %",5,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 330-360g",,,Sig. NREM decrease at 10 and 40 nmol of orex-b agonist. REM totally suppressed 2nd hour,"Akanmu, M. A. (2005)",Akanmu,2005,https://pubmed.ncbi.nlm.nih.gov/15919057/,
Forebrain,Hypothalamus,LH,Pharmacologic,Orexin,ICV infusion of orexin-B,Dose-dependent increase in wakefulness and decrease in NREM and REM sleep,"72,00 %","-36,90 %","-74,50 %",5,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 330-360g",,,,"Akanmu, M. A. (2005)",Akanmu,2005,https://pubmed.ncbi.nlm.nih.gov/15919057/,
Brainstem,Pons,LC,Lesion,Temporary,Injections of orexin-A/hcrt1 in LC,"Suppressed REM sleep (dose-dep.), increased wakefulness at expense of deep SWS","64,93 %","-26,77 %","-94,89 %",5,Rats,Sprague-Dawley,Male,Adult,Both,"Adult, 250-300g",,,Injection of hcrt1 induced overexpression of c-fos in LC. hcrt2 (orex-b) not found in LC,"Bourgin, P. (2000)",Bourgin,2000,https://www.jneurosci.org/content/20/20/7760?ijkey=c73224f04252cdfca31d14057035aa0872430d4a&keytype2=tf_ipsecsha,
Forebrain,Basal Ganglia,Striatum,Lesion,Permanent,Striatial excitotoxic lesion ,Increased wakefulness at 30 days post-lesion at expense of SWS duration. Increase in W bouts and SWS bouts duration.,,,,,Rats,Sprague-Dawley,Male,Adult,NREM,"Adult, 300g at avarage",,Increased locomotion,Sleep disturbances occur during light phase. Not strong significance in results,"Mena-Segovia, J. (2002)",Mena-Segovia,2002,https://www.sciencedirect.com/science/article/pii/S0166432802002012?pes=vor,
,,,Pharmacologic,Corticosterone,Subcutanous injections of corticosterone (2mg in 0.01 ml oil),initial enhancement of wakefulness and a reduction in slow-wave sleep within the first hour and lasted until hour 3,"23,03 %","-17,17 %","-22,23 %",24,Rats,Wistar,Male,Adult,NREM,"Adult, 350-500g",Corticosterone,,Sig. increase in deep SWS and REM latencies.,"Vázquez-Palacios, G (2001)",Vázquez-Palacios,2001,https://pubmed.ncbi.nlm.nih.gov/11701201/,
Forebrain,Hypothalamus,LC,Pharmacologic,Corticosterone,Repeated corticosterone injections,7 days sign. decreased NREM sleep. 21 days shortened REM sleep latency.,,,,,Rats,Wistar,Male,Adult,Both,Adult? Unspecified.,14+21d: depression symptoms,Not significant,"7d: TH levels increased and GR expressopm decreased. 14+21d: enhanced REM, decreased TH+GR, FKBP51 expression increased","Cui, X. (2018)",Cui,2018,https://www.sciencedirect.com/science/article/abs/pii/S0304394018304208?via%3Dihub,
,,,Pharmacologic,PCPA,"Injections with PCPA and sleeping in different temperatures(20,30,32)",REM sleep and bout decreased after injection. SWS sleep and bout length decreased. W->SWS decreased. SWS->R increased,,,,,Rats,Long-evans hooded,Male,Adult,Both,"Adult, 300-500g",,,bodytemp -2.3degrees after PCPA injection at 20 degrees.,Li and Satinoff (1992),Li and Satinoff,1992,https://pubmed.ncbi.nlm.nih.gov/1535266/,
Forebrain,Hypothalamus,LH,Pharmacologic,Cocaine,"Acute cocaine through IP of three doses (3.6, 9.6, 18 mg/kg)","Dose-dep increased waking, especially first hour, and increase of EEG activity while awake. Increased sleep latency.","75,10 %",,,1,Mice,C57BL/6 mice,Male,Adult,Both,"Adult, unspecified",,,"Changes in waking time due to episode durtion, SWS and REM due to episode duration and number",Bjorness and Greene (2018),Bjorness + Greene,2018,https://pubmed.ncbi.nlm.nih.gov/31236515/,
Forebrain,Hypothalamus,LH,Pharmacologic,Cocaine,Repeated cocaine use for 13 days,"Increased waking, decreased SWS and REM during injection period. SWS and SWA dropped. Sleep latency and REM latency increased. ",,,"-11,87 %",24,Mice,C57BL/6 mice,Male,Adult,Both,"Adult, unspecified",,"Not measured, but low food intake","Increase in gamma spectral energy, high EEG activity. Decrease in waking and increase in sleep during early and middle DP","Bjorness, T (2022)",Bjorness,2022,https://pubmed.ncbi.nlm.nih.gov/35812231/,
Forebrain,Hypothalamus,LH,Pharmacologic,Cocaine,Cocaine abstinence after chronic cocaine use,Increase in arousal for about 2 weeks. Increase in gamma energy Sleep latency increased. ,,,,,Mice,C57BL/6 mice,Male,Adult,Both,"Adult, unspecified",,,SWS SWE and W SWA remained elevated during early portion and increase in SWS during latter portion. Reduction in waking during early and middle DP,"Bjorness, T (2022)",Bjorness,2022,https://pubmed.ncbi.nlm.nih.gov/35812231/,
Forebrain,Cortex,Cortex,Genetic,CRISPR,Heterozygous amino acid substitution at S246 to alanine in Hdac4,"Decreased NREMS time, shorter NREMS episode duration and lower NREMS delta power",,"12,42 %",,24,Mice,Hdac4S246A/+,Male,Adult,NREM,"Adult, 11-14 weeks",,,NREMS delta power decreased at baseline and after sleep deprivation,"Kim, S. J. (2022)",Kim,2022,https://pubmed.ncbi.nlm.nih.gov/36477539/,
Forebrain,Cortex,Cortex,Genetic,CRISPR,Heterozygous alanine substitution at Thr221 in Sik3 gene,"Mildly decreased NREM sleep delta power, indicating impaired sleep depth",,"-12,20 %",,24,Mice,Sik3T221A/+,Male,Adult,NREM,"Adult, 11-14 weeks",,,,"Kim, S. J. (2022)",Kim,2022,https://pubmed.ncbi.nlm.nih.gov/36477539/,
Forebrain,Cortex,Cortex,Genetic,Gene casette,Deletion of Sik3 in vglut2-positive neurons,"Increase wake time, decreased NREM time and delta power at baseline and after SD.","7,24 %","-7,34 %","-9,85 %",24,Mice,Vglut2cre;Sik3?flox/flox,Male,Adult,Both,"Embryo to Adult, 11-14 weeks",,,Decreased sleep need? (Decreased Td/Ti ratio),"Kim, S. J. (2022)",Kim,2022,https://pubmed.ncbi.nlm.nih.gov/36477539/,
Forebrain,Cortex,Cortex,Genetic,Gene casette,Deletion of Sik3 in vglut1-positive neurons,"milder than vglut2, but similar","11,53 %","-10,27 %","-0,28 %",24,Mice,Vglut1cre;Sik3?flox/flox,Male,Adult,NREM,"Embryo to Adult, 11-14 weeks",,,Decreased sleep need? (Decreased Td/Ti ratio),"Kim, S. J. (2022)",Kim,2022,https://pubmed.ncbi.nlm.nih.gov/36477539/,
Forebrain,Cortex,Cortex,Genetic,Gene casette,Deletion of Sik3 in vgat-positive neurons,Decrease in total REM sleep time,,"-3,53 %","-11,98 %",24,Mice,Vgatcre;Sik3?flox/flox,Male,Adult,REM,"Embryo to Adult, 11-14 weeks",,,,"Kim, S. J. (2022)",Kim,2022,https://pubmed.ncbi.nlm.nih.gov/36477539/,
Brainstem,Midbrain,vIPAG,Optogenetics,ChR2,Activation of dDpMe/vIPAG GABAergic neurons,Suppressed REM sleep and promoted NREM sleep. During wakefulness/NREM;prolonged NREMS and enhanced wake-to-NREM transitions,,"93,50 %",,<1,Mice,GAD2-IRES-Cre,Male,Adult,Both,"Adult, 25 +/- 3g",,,Duration of wake after REM suppression decreased by 60.5% and NREM increased by 82.43%,"Chen, Z. K (2022)",Chen,2022,https://pubmed.ncbi.nlm.nih.gov/36280664/,
Brainstem,Midbrain,vIPAG,Optogenetics,eNpHR,Inhibition of dDpMe/vIPAG GABAergic neurons,Induction of REM and decrease in NREM. Probability of NREM-REM 61.1%. REM sleep and wake durations were sig. increased after,"79,66 %",,"65,12 %",<1,Mice,GAD2-IRES-Cre,Male,Adult,REM,"Adult, 25 +/- 3g",,,,"Chen, Z. K (2022)",Chen,2022,https://pubmed.ncbi.nlm.nih.gov/36280664/,
,,,Genetic,CRISPR (triple),Global KO of Kcnn2 and Kcnn3,"Kcnn2/3 KO sleep duration decreased (approx. -2,2h and approx. -1.85h). Awake state stabilization. Kcnn2 sig. decrease NREM","17,57 %",,,24,Mice,Kcnn2-/- and Kcnn3-/-,N/D,Adult,NREM,From Embryo,,,Shorter sleep most of the day. Lower transition prob. from wake-sleep. Kcnn2 showed change in regulation of sleep,"Tatsuki, F. (2016)",Tatsuki,2016,https://pubmed.ncbi.nlm.nih.gov/26996081/,
,,,Genetic,CRISPR (triple),Global KO of Cacna1g and Cacna1h,"Significant decrease in sleep duration (approx- 1,4h and -1.5h resp), short-sleeper phenotype (SD?)","11,97 %",,,24,Mice,Cacna1g-/- and Casna1h-/-,N/D,Adult,NREM,From Embryo,,,,"Tatsuki, F. (2016)",Tatsuki,2016,https://pubmed.ncbi.nlm.nih.gov/26996081/,
,,,Genetic,CRISPR (triple),Global KO of Camk2a and Camk2b,Significant decrease in sleep duration (approx- 0.9h and -2.0h resp).,"6,44 %",,,24,Mice,Camk2a-/- and Camk2b-/-,N/D,Adult,NREM,From Embryo,,,Camk2b KO less likely to transition from wake-sleep and sleep-wake. ,"Tatsuki, F. (2016)",Tatsuki,2016,https://pubmed.ncbi.nlm.nih.gov/26996081/,
Forebrain,Cortex,Cortex,Pharmacologic,Receptor antagonist,IP injection of PCP and MK-801 (NMDARs antagonists),Decreased sleep duration. MK-801 sign. decrease of NREM sleep duration. Short-sleeper phenotype (SD?),,,,,Mice,C57BL/6N and C57BL/6J,Male,Adult,NREM,"Adult, 6-8 weeks",,,,"Tatsuki, F. (2016)",Tatsuki,2016,https://pubmed.ncbi.nlm.nih.gov/26996081/,
